Name                           Value
----                           -----
__CONDA_OPENSLL_CERT_FILE_SET  1
__DOTNET_ADD_64BIT             1
__DOTNET_PREFERRED_BITNESS     64
__MS_VC_INSTALL_PATH           C:\Program Files\Microsoft Visual Studio\2022\Professional\VC\Tools\MSVC\14.37.32822\
__VSCMD_PREINIT_PATH           C:\Users\12900K\miniconda3;C:\Users\12900K\miniconda3\Library\mingw-w64\bin;C:\Users\12900K\minic... 
_CONDA_EXE                     C:\Users\12900K\miniconda3\Scripts\conda.exe
_CONDA_ROOT                    C:\Users\12900K\miniconda3
ADVISOR_2023_DIR               C:\Program Files (x86)\Intel\oneAPI\advisor\latest\
ALLUSERSPROFILE                C:\ProgramData
APM                            C:\Program Files (x86)\Intel\oneAPI\advisor\latest\\perfmodels
APPDATA                        C:\Users\12900K\AppData\Roaming
CHROME_CRASHPAD_PIPE_NAME      \\.\pipe\crashpad_13560_VVNTIDOCOGAVCWWO
CLASSPATH                      C:\Program Files (x86)\Intel\oneAPI\dal\latest\lib\onedal.jar;
CLIENTNAME                     QIANSHUI-MOBL1
CM_RT_PLATFORM                 elg
CM_RT_SKU                      gt2
CMAKE_PREFIX_PATH              C:\Program Files (x86)\Intel\oneAPI\tbb\latest\env\..;C:\Program Files (x86)\Intel\oneAPI\ipp\lat... 
CMEMU_PATH                     C:\Users\12900K\Documents\Engneeing_works\dml_workspace\ComputeSDK_Windows_internal_2023_WW41\cmemu  
CMPLR_ROOT                     C:\Program Files (x86)\Intel\oneAPI\compiler\latest
COLORTERM                      truecolor
CommandPromptType              Native
CommonProgramFiles             C:\Program Files\Common Files
CommonProgramFiles(x86)        C:\Program Files (x86)\Common Files
CommonProgramW6432             C:\Program Files\Common Files
COMPUTERNAME                   ADL-S
ComSpec                        C:\WINDOWS\system32\cmd.exe
CONDA_DEFAULT_ENV              base
CONDA_EXE                      C:\Users\12900K\miniconda3\Scripts\conda.exe
CONDA_PREFIX                   C:\Users\12900K\miniconda3
CONDA_PREFIX_1                 C:\Users\12900K\miniconda3
CONDA_PREFIX_2                 C:\Users\12900K\miniconda3\envs\opt_dev_stack_sdxl
CONDA_PROMPT_MODIFIER          (base)
CONDA_PYTHON_EXE               C:\Users\12900K\miniconda3\python.exe
CONDA_SHLVL                    3
CPATH                          C:\Program Files (x86)\Intel\oneAPI\tbb\latest\env\..\include;C:\Program Files (x86)\Intel\oneAPI... 
CSDK_DRIVER                    C:\Users\12900K\Documents\Engneeing_works\dml_workspace\ComputeSDK_Windows_internal_2023_WW41\dri... 
CSDK_IGC                       C:\Users\12900K\Documents\Engneeing_works\dml_workspace\ComputeSDK_Windows_internal_2023_WW41\       
CSDK_SIM                       C:\Users\12900K\Documents\Engneeing_works\dml_workspace\ComputeSDK_Windows_internal_2023_WW41\sim... 
CSDK_WORKSPACE                 C:\Users\12900K\Documents\Engneeing_works\dml_workspace\ComputeSDK_Windows_internal_2023_WW41\       
DAALROOT                       C:\Program Files (x86)\Intel\oneAPI\dal\latest
DAL_MAJOR_BINARY               1
DAL_MINOR_BINARY               1
DALROOT                        C:\Program Files (x86)\Intel\oneAPI\dal\latest
DevEnvDir                      C:\Program Files\Microsoft Visual Studio\2022\Professional\Common7\IDE\
DIAGUTIL_PATH                  C:\Program Files (x86)\Intel\oneAPI\vtune\latest\sys_check\vtune_sys_check.py;C:\Program Files (x... 
DNNLROOT                       C:\Program Files (x86)\Intel\oneAPI\dnnl\latest\env\..\cpu_dpcpp_gpu_dpcpp
DPL_ROOT                       C:\Program Files (x86)\Intel\oneAPI\dpl\latest
DriverData                     C:\Windows\System32\Drivers\DriverData
EFC_9000                       1
ERRORSTATE                     0
ExtensionSdkDir                C:\Program Files (x86)\Microsoft SDKs\Windows Kits\10\ExtensionSDKs
EXTERNAL_INCLUDE               C:\Program Files\Microsoft Visual Studio\2022\Professional\VC\Tools\MSVC\14.37.32822\include;C:\P...
FPS_BROWSER_APP_PROFILE_STRING Internet Explorer
FPS_BROWSER_USER_PROFILE_ST... Default
Framework40Version             v4.0
FrameworkDir                   C:\Windows\Microsoft.NET\Framework64\
FrameworkDir64                 C:\Windows\Microsoft.NET\Framework64\
FrameworkVersion               v4.0.30319
FrameworkVersion64             v4.0.30319
GIT_ASKPASS                    c:\Users\12900K\AppData\Local\Programs\Microsoft VS Code\resources\app\extensions\git\dist\askpas... 
HOMEDRIVE                      C:
HOMEPATH                       \Users\12900K
IGCCSVC_DB                     AQAAANCMnd8BFdERjHoAwE/Cl+sBAAAA1JqbRBgUaUWyqhrJHVdbMgQAAAACAAAAAAAQZgAAAAEAACAAAABVYVfBVtVaVI+V8... 
INCLUDE                        C:\Users\12900K\Documents\Engneeing_works\dml_workspace\ComputeSDK_Windows_internal_2023_WW41\run... 
INTEL_PYTHONPATH               C:\Program Files (x86)\Intel\oneAPI\advisor\latest\pythonapi
INTEL_TARGET_ARCH              intel64
INTEL_TARGET_PLATFORM          windows
INTELFPGAOCLSDKROOT            C:\Program Files (x86)\Intel\oneAPI\compiler\latest\windows\lib\oclfpga
INTELGTDEBUGGERROOT            C:\Program Files (x86)\Intel\oneAPI\debugger\latest\env\\..
IPP_TARGET_ARCH                intel64
IPPCP_TARGET_ARCH              intel64
IPPCRYPTOROOT                  C:\Program Files (x86)\Intel\oneAPI\ippcp\latest
IPPROOT                        C:\Program Files (x86)\Intel\oneAPI\ipp\latest
LANG                           en_US.UTF-8
LIB                            C:\Users\12900K\Documents\Engneeing_works\dml_workspace\ComputeSDK_Windows_internal_2023_WW41\run... 
LIBPATH                        C:\Program Files\Microsoft Visual Studio\2022\Professional\VC\Tools\MSVC\14.37.32822\ATLMFC\lib\x... 
LIBRARY_PATH                   C:\Program Files (x86)\Intel\oneAPI\ippcp\latest\lib\intel64;C:\Program Files (x86)\Intel\oneAPI\... 
LOCALAPPDATA                   C:\Users\12900K\AppData\Local
LOGONSERVER                    \\ADL-S
MKLROOT                        C:\Program Files (x86)\Intel\oneAPI\mkl\latest
NETFXSDKDir                    C:\Program Files (x86)\Windows Kits\NETFXSDK\4.8\
NLSPATH                        C:\Program Files (x86)\Intel\oneAPI\mkl\latest\lib\intel64;
NUMBER_OF_PROCESSORS           24
OCL_ICD_FILENAMES              C:\Users\12900K\Documents\Engneeing_works\dml_workspace\ComputeSDK_Windows_internal_2023_WW41\dri... 
ONEAPI_ROOT                    C:\Program Files (x86)\Intel\oneAPI
OneDrive                       C:\Users\12900K\OneDrive
ORIGINAL_XDG_CURRENT_DESKTOP   undefined
OS                             Windows_NT
Path                           C:\Users\12900K\Documents\Engneeing_works\dml_workspace\ComputeSDK_Windows_internal_2023_WW41\spi... 
PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;.CPL
PKG_CONFIG_PATH                C:\Program Files (x86)\Intel\oneAPI\tbb\latest\env\..\lib\pkgconfig;C:\Program Files (x86)\Intel\... 
Platform                       bmg
PROCESSOR_ARCHITECTURE         AMD64
PROCESSOR_IDENTIFIER           Intel64 Family 6 Model 151 Stepping 2, GenuineIntel
PROCESSOR_LEVEL                6
PROCESSOR_REVISION             9702
ProgramData                    C:\ProgramData
ProgramFiles                   C:\Program Files
ProgramFiles(x86)              C:\Program Files (x86)
ProgramW6432                   C:\Program Files
PROMPT                         $P$G
PSModulePath                   C:\Users\12900K\Documents\WindowsPowerShell\Modules;C:\Program Files\WindowsPowerShell\Modules;C:... 
PUBLIC                         C:\Users\Public
PYTHONPATH                     C:\Program Files (x86)\Intel\oneAPI\advisor\latest\pythonapi
SESSIONNAME                    RDP-Tcp#0
SETVARS_COMPLETED              1
SSL_CERT_FILE                  C:\Users\12900K\miniconda3\Library\ssl\cacert.pem
SystemDrive                    C:
SystemRoot                     C:\WINDOWS
TBB_BIN_DIR                    C:\Program Files (x86)\Intel\oneAPI\tbb\latest\env\
TBB_DLL_PATH                   C:\Program Files (x86)\Intel\oneAPI\tbb\latest\env\..\redist\intel64\vc_mt
TBB_TARGET_ARCH                intel64
TBB_TARGET_VS                  vc_mt
TBBROOT                        C:\Program Files (x86)\Intel\oneAPI\tbb\latest\env\..
TEMP                           C:\Users\12900K\AppData\Local\Temp
TERM_PROGRAM                   vscode
TERM_PROGRAM_VERSION           1.84.2
TMP                            C:\Users\12900K\AppData\Local\Temp
UCRTVersion                    10.0.22621.0
UniversalCRTSdkDir             C:\Program Files (x86)\Windows Kits\10\
USE_INTEL_LLVM                 0
USERDOMAIN                     ADL-S
USERDOMAIN_ROAMINGPROFILE      ADL-S
USERNAME                       12900K
USERPROFILE                    C:\Users\12900K
VARSDIR                        C:\Program Files (x86)\Intel\oneAPI\dpl\latest\env\
VCIDEInstallDir                C:\Program Files\Microsoft Visual Studio\2022\Professional\Common7\IDE\VC\
VCINSTALLDIR                   C:\Program Files\Microsoft Visual Studio\2022\Professional\VC\
VCPKG_ROOT                     C:\Program Files\Microsoft Visual Studio\2022\Professional\VC\vcpkg
VCToolsInstallDir              C:\Program Files\Microsoft Visual Studio\2022\Professional\VC\Tools\MSVC\14.37.32822\
VCToolsRedistDir               C:\Program Files\Microsoft Visual Studio\2022\Professional\VC\Redist\MSVC\14.36.32532\
VCToolsVersion                 14.37.32822
VisualStudioVersion            17.0
VS_TARGET_ARCH                 amd64
VS170COMNTOOLS                 C:\Program Files\Microsoft Visual Studio\2022\Professional\Common7\Tools\
VS2022INSTALLDIR               C:\Program Files\Microsoft Visual Studio\2022\Professional
VSCMD_ARG_app_plat             Desktop
VSCMD_ARG_HOST_ARCH            x64
VSCMD_ARG_TGT_ARCH             x64
VSCMD_VER                      17.7.6
VSCODE_GIT_ASKPASS_EXTRA_ARGS  --ms-enable-electron-run-as-node
VSCODE_GIT_ASKPASS_MAIN        c:\Users\12900K\AppData\Local\Programs\Microsoft VS Code\resources\app\extensions\git\dist\askpas... 
VSCODE_GIT_ASKPASS_NODE        C:\Users\12900K\AppData\Local\Programs\Microsoft VS Code\Code.exe
VSCODE_GIT_IPC_HANDLE          \\.\pipe\vscode-git-eff35cefcd-sock
VSCODE_INJECTION               1
VSINSTALLDIR                   C:\Program Files\Microsoft Visual Studio\2022\Professional\
VSSDK150INSTALL                C:\Program Files\Microsoft Visual Studio\2022\Professional\VSSDK
VSSDKINSTALL                   C:\Program Files\Microsoft Visual Studio\2022\Professional\VSSDK
VTUNE_PROFILER_2023_DIR        C:\Program Files (x86)\Intel\oneAPI\vtune\latest\
VTUNE_PROFILER_DIR             C:\Program Files (x86)\Intel\oneAPI\vtune\latest\
windir                         C:\WINDOWS
WindowsLibPath                 C:\Program Files (x86)\Windows Kits\10\UnionMetadata\10.0.22621.0;C:\Program Files (x86)\Windows ... 
WindowsSDK_ExecutablePath_x64  C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\x64\
WindowsSDK_ExecutablePath_x86  C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\
WindowsSdkBinPath              C:\Program Files (x86)\Windows Kits\10\bin\
WindowsSdkDir                  C:\Program Files (x86)\Windows Kits\10\
WindowsSDKLibVersion           10.0.22621.0\
WindowsSdkVerBinPath           C:\Program Files (x86)\Windows Kits\10\bin\10.0.22621.0\
WindowsSDKVersion              10.0.22621.0\
ZE_ENABLE_ALT_DRIVERS          C:\Users\12900K\Documents\Engneeing_works\dml_workspace\ComputeSDK_Windows_internal_2023_WW41\dri... 
ZES_ENABLE_SYSMAN              1


ocloc Device options:
 -device <device_type>                     Target device.
                                            <device_type> can be: tgl, tgllp, rkl, adl-s, adl-p, adl-n, dg1, dg2-g10-a0, dg2-g10-a1, dg2-g10-b0, acm-g10, ats-m150, dg2-g10, dg2-g10-c0, dg2-g11-a0, dg2-g11-b0, acm-g11, ats-m75, dg2-g11, dg2-g11-b1, acm-g12, dg2-g12, acm-g12, dg2-g12, dg2-g12-a0, acm-g20, dg2-g20, acm-g21, dg2-g21, pvc-xl-a0, pvc-sdv, pvc-xl-a0p, pvc-xt-a0, pvc-xt-b0, pvc-xt-b1, pvc, pvc-xt-c0, xe-lpg-md-a0, mtl-m, mtl-s, xe-lpg-md-b0, xe-lpg-lg-a0, mtl-p, xe-lpg-lg-b0, xe-lpgplus-xl-a0, xe-lpgplus-xl-b0, xe-lpgplus-lg-a0, xe-lpgplus-lg, xe2-hpg-x3-a0, elg, xe2-hpg-x2-a0, xe2-hpg-x2-a1, xe2-hpg-x2-b0, xe2-hpg-x4-a0, xe2-lpg-a0, xe2-lpg-a1, xe2-lpg-b0, xe3-lpg-lg-a0, xe3-lpg-sm-a0, xe3-hpg-a0, xe3-xpc-a0, gen12lp, xe, xe2, xe3, xe-hpc, xe-hpg, xe-hpgplus, xe-lpg, xe-lpgplus, xe2-hpg, xe2-lpg, xe3-hpg, xe3-lpg, xe3-xpc, ip version  or hexadecimal value with 0x prefix    
                                            - can be single or multiple target devices.
                                            The ip version can be a representation of the
                                            <major>.<minor>.<revision> or a decimal value that
                                            can be queried using the L0 ZE_extension_device_ip_version.
                                            The hexadecimal value represents device ID.
                                            If such value is provided, ocloc will try to
                                            match it with corresponding device type.
                                            For example, 0xFF20 device ID will be translated
                                            to tgllp.
                                            If multiple target devices are provided, ocloc
                                            will compile for each of these targets and will
                                            create a fatbinary archive that contains all of
                                            device binaries produced this way.
                                            Supported -device patterns examples:
                                            -device 0x4905        ; will compile 1 target (dg1)
                                            -device 12.10.0       ; will compile 1 target (dg1)
                                            -device 50495488      ; will compile 1 target (dg1)
                                            -device dg1           ; will compile 1 target
                                            -device dg1,acm-g10   ; will compile 2 targets
                                            -device dg1:acm-g10   ; will compile all targets
                                                                    in range (inclusive)
                                            -device dg1:          ; will compile all targets
                                                                    newer/same as provided
                                            -device :dg1          ; will compile all targets
                                                                    older/same as provided
                                            -device xe-hpg        ; will compile all targets
                                                                    matching the same release
                                            -device xe            ; will compile all targets
                                                                    matching the same family
                                            -device xe-hpg:xe-hpc ; will compile all targets
                                                                    in range (inclusive)
                                            -device xe-hpg:       ; will compile all targets
                                                                    newer/same as provided
